,Rotation speed (rpm),Torque (N⋅m),Thrust (kgf),Propeller diameter [in],Propeller pitch [in]
0,0.0,-4.87252533476e-05,0.000708670170653,6.0,3.0
1,17705.00000000023,0.036526526949165,0.4376014572252197,6.0,3.0
2,17424.00000000046,0.035125639291889,0.4204937527635431,6.0,3.0
3,17065.00000000006,0.033782863391135,0.4018754372558825,6.0,3.0
4,16768.00000000043,0.032450401143455,0.3847175040775698,6.0,3.0
5,16440.99999999975,0.03140383977104,0.3705995968800253,6.0,3.0
6,16022.99999999992,0.029645064783806,0.3501140059594969,6.0,3.0
7,15630.999999999982,0.028204971813737,0.334187704685749,6.0,3.0
8,15286.999999999627,0.026971353549837,0.31575623944246,6.0,3.0
9,14818.999999999638,0.024826942307061,0.2925283769086997,6.0,3.0
10,14388.000000000337,0.023375828758997,0.2753221658309209,6.0,3.0
11,14027.000000000313,0.021876861192259,0.2573581906740426,6.0,3.0
12,13397.999999999984,0.020232775078584,0.2372655458103226,6.0,3.0
13,12909.999999999927,0.01845733564176,0.2155299367526117,6.0,3.0
14,12395.999999999976,0.016921165736779,0.1962555862862751,6.0,3.0
15,11654.999999999667,0.015003964438049,0.171477272164521,6.0,3.0
16,10797.00000000032,0.012715227030938,0.1465243958793268,6.0,3.0
17,10300.999999999854,0.011588250654506,0.1322476301579744,6.0,3.0
18,9280.999999999978,0.0092561434901003,0.1055859825024039,6.0,3.0
19,8428.99999999998,0.007581040194257,0.0853546102613257,6.0,3.0
20,7374.999999999993,0.0058623199948274,0.0633398699745162,6.0,3.0
0,0.0,5.8397311573e-05,0.0003657621359114,6.0,3.0
1,18926.000000000186,0.04425816530865,0.5061803657868079,6.0,3.0
2,18647.00000000004,0.042575357702426,0.4870604235242922,6.0,3.0
3,18336.00000000017,0.040763965265623,0.4643333226003783,6.0,3.0
4,17953.000000000462,0.039306945019675,0.4448999275952747,6.0,3.0
5,17538.99999999988,0.03704356621398,0.4242281392175819,6.0,3.0
6,17120.000000000236,0.034888007571051,0.4009757958292485,6.0,3.0
7,16811.999999999807,0.033673715787481,0.3824490341901567,6.0,3.0
8,16283.999999999622,0.031745114710401,0.3606330251415723,6.0,3.0
9,15863.000000000353,0.029639915402545,0.3363341616336567,6.0,3.0
10,15362.999999999683,0.027367764173277,0.3134586588000184,6.0,3.0
11,14886.000000000427,0.026039875475277,0.2936532918013695,6.0,3.0
12,14313.000000000096,0.023776133146398,0.2713567985275502,6.0,3.0
13,13721.000000000462,0.021671970625241,0.2452040637974027,6.0,3.0
14,13250.000000000076,0.019853043403669,0.2250511846014694,6.0,3.0
15,12563.000000000136,0.017596696593424,0.2000147413916067,6.0,3.0
16,11785.999999999904,0.015697803897001,0.1744478133714061,6.0,3.0
17,10912.99999999955,0.01321164273321,0.1496439783492222,6.0,3.0
18,10096.999999999956,0.011263157251594,0.1242235774654035,6.0,3.0
19,9217.999999999964,0.0094628150819031,0.1019985648240122,6.0,3.0
20,8002.000000000025,0.0073510187873678,0.0744082655986376,6.0,3.0
0,0.0,-0.0001267250076108,-0.0007019590085664,6.0,3.0
1,15630.999999999982,0.028204562119337,0.3325842476107437,6.0,3.0
2,15360.00000000025,0.027062498685487,0.317132391510781,6.0,3.0
3,15096.999999999967,0.026198425533913,0.3051475891312834,6.0,3.0
4,14803.999999999589,0.025116351181972,0.2919680788151714,6.0,3.0
5,14474.000000000426,0.024154608549368,0.2791688491604677,6.0,3.0
6,14184.000000000438,0.022961614172372,0.2650798035281161,6.0,3.0
7,13850.000000000116,0.022096047316794,0.2545355992084453,6.0,3.0
8,13489.000000000093,0.020948947877522,0.2392262738481541,6.0,3.0
9,13142.0000000003,0.019677473071465,0.2244693193026772,6.0,3.0
10,12773.999999999678,0.018690536119908,0.2115190057302238,6.0,3.0
11,12321.999999999549,0.017523006578684,0.196603679341559,6.0,3.0
12,11876.000000000196,0.016332365653023,0.1806845864396812,6.0,3.0
13,11371.000000000466,0.014876765471408,0.1637797944579851,6.0,3.0
14,10820.999999999633,0.01326035581804,0.1455718080458974,6.0,3.0
15,10337.999999999594,0.012327345837053,0.1319250422093987,6.0,3.0
16,9741.999999999756,0.010986373814439,0.1150870331051582,6.0,3.0
17,9119.000000000024,0.009788665549161,0.1000772403685499,6.0,3.0
18,8308.99999999997,0.0082105547422629,0.0811120566965171,6.0,3.0
19,7564.000000000034,0.0068509695973278,0.0658206443421158,6.0,3.0
20,6498.000000000008,0.0047892555974107,0.0471951140281176,6.0,3.0
0,4005.000000000025,0.0019446442421265,0.0173842865459958,6.0,3.0
1,6035.000000000032,0.0040145158553968,0.0413717588469956,6.0,3.0
2,7560.00000000002,0.0062537145374495,0.066732252425137,6.0,3.0
3,8746.999999999962,0.0081855097881852,0.0912317064204106,6.0,3.0
4,9962.000000000471,0.010740818213463,0.1228490867423432,6.0,3.0
5,11118.000000000216,0.013046838544813,0.1529921733535203,6.0,3.0
6,12085.000000000113,0.01541849514112,0.183948647268323,6.0,3.0
7,12879.99999999983,0.017576607239513,0.2122120265103985,6.0,3.0
8,13687.999999999973,0.019835293567934,0.2414914024755038,6.0,3.0
9,14278.99999999979,0.022066077564031,0.269588926895474,6.0,3.0
10,14868.9999999998,0.024072995454823,0.2977527859167402,6.0,3.0
11,15568.000000000353,0.026022507725067,0.3232003684840491,6.0,3.0
12,16049.999999999627,0.028436215339246,0.3529903280951089,6.0,3.0
13,16658.999999999884,0.030435842374893,0.3780142456112332,6.0,3.0
14,17130.00000000027,0.032573706723669,0.4072863603320298,6.0,3.0
15,17623.000000000346,0.034514739913075,0.4326855183205274,6.0,3.0
16,17990.000000000196,0.035752792606645,0.4495235442370942,6.0,3.0
17,18376.00000000031,0.037611445636223,0.4742682801107921,6.0,3.0
18,18810.99999999981,0.039457551445563,0.4946330573781261,6.0,3.0
19,19174.00000000042,0.041289247245569,0.519305005761937,6.0,3.0
20,0.0,-2.83113900218e-05,0.0002551612648041,6.0,3.0
0,3615.0,0.0016345108937648,0.0103413379293846,6.0,3.0
1,7531.000000000022,0.006521202618704,0.0521264957868171,6.0,3.0
2,0.0,2.99167653433e-05,3.15235079036e-05,6.0,3.0
3,10117.999999999834,0.01071510269717,0.101020669017791,6.0,3.0
4,12146.999999999933,0.015903784834729,0.1501293748078395,6.0,3.0
5,13709.999999999662,0.020129465486704,0.1975060417848194,6.0,3.0
6,15016.999999999707,0.024250112891273,0.2454236724944298,6.0,3.0
7,16021.000000000296,0.027806090278374,0.2853035675121576,6.0,3.0
8,17085.000000000124,0.031395239442963,0.3282085746162043,6.0,3.0
9,17940.000000000036,0.035196814418446,0.3663752841493272,6.0,3.0
10,19008.00000000007,0.039070121685397,0.4133739700654658,6.0,3.0
0,4494.999999999994,0.0016353738052291,0.0134084337271728,6.0,3.0
1,7833.999999999956,0.0049037789969597,0.0459156872046631,6.0,3.0
2,0.0,-0.0001159765021436,-0.0001803740403264,6.0,3.0
3,10290.999999999822,0.0086143836171303,0.0852952133830288,6.0,3.0
4,12364.000000000256,0.012493471254185,0.1260860515698123,6.0,3.0
5,14084.000000000113,0.016804656622009,0.1676818895616545,6.0,3.0
6,15629.000000000358,0.020666471492857,0.214944029477375,6.0,3.0
7,16794.000000000324,0.023999075999366,0.2541577973605767,6.0,3.0
8,17840.999999999523,0.027579721602551,0.2903032723963433,6.0,3.0
9,18733.99999999994,0.03058809691257,0.3278680684375296,6.0,3.0
10,19496.999999999935,0.034007542380636,0.3613979694474259,6.0,3.0
0,0.0,7.98824884395e-05,-1.06976145942e-05,6.0,3.0
1,19445.999999999964,0.047472488237954,0.5410249884186139,6.0,3.0
2,19135.999999999916,0.045893594286283,0.5216433488566432,6.0,3.0
3,18835.99999999989,0.044200948185048,0.497987972487506,6.0,3.0
4,18535.000000000065,0.042632348668736,0.4819086920493237,6.0,3.0
5,18215.99999999979,0.041117988563889,0.4629127223177946,6.0,3.0
6,17748.999999999607,0.03918344765115,0.4436157300881035,6.0,3.0
7,17349.00000000022,0.037279397942067,0.4222061262725192,6.0,3.0
8,16871.000000000193,0.035361593048212,0.3974507422957891,6.0,3.0
9,16454.000000000175,0.033530120541199,0.3771147571175886,6.0,3.0
10,16113.000000000213,0.031503826568389,0.3500348215002881,6.0,3.0
11,15528.000000000222,0.028768632296171,0.3214158800640586,6.0,3.0
12,15025.999999999927,0.027426457313421,0.3012915331049543,6.0,3.0
13,14373.000000000287,0.025256813410647,0.2756110113691628,6.0,3.0
14,13707.000000000226,0.022806154452897,0.2473053893063074,6.0,3.0
15,13107.000000000186,0.020855031320722,0.222912523317922,6.0,3.0
16,12345.000000000004,0.018701105718736,0.1966533026321832,6.0,3.0
17,11353.999999999836,0.015967866568044,0.1632733377488541,6.0,3.0
18,10565.99999999976,0.014181483834688,0.1396973300990144,6.0,3.0
19,9453.999999999967,0.011646837167078,0.1092852191499645,6.0,3.0
20,8059.000000000019,0.0092984091591342,0.0776424496575935,6.0,3.0
0,0.0,7.39107484598e-05,-0.0002617146798383,6.0,3.0
1,4136.999999999976,0.001492048826341,0.010865314792297,6.0,3.0
2,7422.999999999958,0.005397057981723,0.0411355382787027,6.0,3.0
3,9837.999999999878,0.0087244723490562,0.0767549773491783,6.0,3.0
4,11968.999999999924,0.012460445446038,0.1199748369937236,6.0,3.0
5,13484.000000000076,0.016230440108866,0.1571054505791988,6.0,3.0
6,14893.99999999988,0.019717815196409,0.1943554002402859,6.0,3.0
7,16059.999999999656,0.02312602591598,0.2334150884779308,6.0,3.0
8,17055.000000000025,0.025641424675438,0.2683932901246501,6.0,3.0
9,18031.999999999956,0.028173609165926,0.3031819199608225,6.0,3.0
10,18687.99999999998,0.031072096620358,0.3348733217666074,6.0,3.0
0,0.0,5.11486041928e-05,-0.0001132936348758,6.0,3.0
1,19033.00000000015,0.046063105062667,0.5166109061965606,6.0,3.0
2,18799.999999999967,0.044461852069485,0.4959037931115213,6.0,3.0
3,18444.999999999767,0.042510812354535,0.4761597361730663,6.0,3.0
4,18108.99999999982,0.04101436060041,0.4612752800770906,6.0,3.0
5,17706.99999999985,0.038910790705983,0.4444173492394548,6.0,3.0
6,17395.999999999985,0.037877971731625,0.4234205822115809,6.0,3.0
7,16952.000000000266,0.035541363152193,0.4000494758808258,6.0,3.0
8,16567.99999999978,0.033786411745415,0.3772982988896004,6.0,3.0
9,16149.99999999995,0.032416593571954,0.3594010832120755,6.0,3.0
10,15621.999999999764,0.029908580058981,0.3315382007178904,6.0,3.0
11,15191.000000000462,0.02807773480591,0.3122372413391321,6.0,3.0
12,14654.999999999867,0.026131578412798,0.2872281130795633,6.0,3.0
13,14141.999999999727,0.02417366225495,0.2645649714665253,6.0,3.0
14,13435.999999999536,0.021654321396067,0.2362219077525964,6.0,3.0
15,12837.000000000264,0.019809416145355,0.2123158750658175,6.0,3.0
16,12121.000000000038,0.017969870975313,0.187438956640861,6.0,3.0
